,text,real,text_no_link
1,"Just landed in Pennsylvania, see everyone soon! https://t.co/RUAfkv1cOs",1.0,"Just landed in Pennsylvania, see everyone soon!"
2,"On my way, see you soon! https://t.co/Ava0nf3Eqq",1.0,"On my way, see you soon!"
3,"On my way to PENNSYLVANIA! 
https://t.co/knZn9xcwix",1.0,On my way to PENNSYLVANIA!
5,I am proud to announce the first $500M of $3.9B in CARES Act transit funding headed to the NY Metropolitan Transportation Authority. Important funding to keep transit systems clean and operating to get people back to work! Spend it wisely! @NYGovCuomo @NYCMayor,1.0,I am proud to announce the first $500M of $3.9B in CARES Act transit funding headed to the NY Metropolitan Transportation Authority. Important funding to keep transit systems clean and operating to get people back to work! Spend it wisely! @NYGovCuomo @NYCMayor
6,"If I were a Senator or Congressman, the first person I would call to testify about the biggest political crime and scandal in the history of the USA, by FAR, is former President Obama. He knew EVERYTHING. Do it @LindseyGrahamSC, just do it. No more Mr. Nice Guy. No more talk!",1.0,"If I were a Senator or Congressman, the first person I would call to testify about the biggest political crime and scandal in the history of the USA, by FAR, is former President Obama. He knew EVERYTHING. Do it @LindseyGrahamSC, just do it. No more Mr. Nice Guy. No more talk!"
7,"Good numbers coming out of States that are opening. America is getting its life back! Vaccine work is looking VERY promising, before end of year. Likewise, other solutions!",1.0,"Good numbers coming out of States that are opening. America is getting its life back! Vaccine work is looking VERY promising, before end of year. Likewise, other solutions!"
8,22-O in my endorsements of Congressional Candidates this season. California & Wisconsin won big on Tuesday. Thank you to all of those very brilliant Voters. You will not be disappointed!,1.0,22-O in my endorsements of Congressional Candidates this season. California & Wisconsin won big on Tuesday. Thank you to all of those very brilliant Voters. You will not be disappointed!
9,"I don’t know the so-called Whistleblower Rick Bright, never met him or even heard of him, but to me he is a disgruntled employee, not liked or respected by people I spoke to and who, with his attitude, should no longer be working for our government!",1.0,"I don’t know the so-called Whistleblower Rick Bright, never met him or even heard of him, but to me he is a disgruntled employee, not liked or respected by people I spoke to and who, with his attitude, should no longer be working for our government!"
10,"The Great State of Wisconsin, home to Tom Tiffany’s big Congressional Victory on Tuesday, was just given another win. Its Democrat Governor was forced by the courts to let the State Open. The people want to get on with their lives. The place is bustling!",1.0,"The Great State of Wisconsin, home to Tom Tiffany’s big Congressional Victory on Tuesday, was just given another win. Its Democrat Governor was forced by the courts to let the State Open. The people want to get on with their lives. The place is bustling!"
11,OBAMAGATE!,1.0,OBAMAGATE!
12,Proud of Mike! https://t.co/g1HvItV79N,1.0,Proud of Mike!
13,First time in 22 years. Mike will be a GREAT CONGRESSMAN! https://t.co/rNzwwFkzSZ,1.0,First time in 22 years. Mike will be a GREAT CONGRESSMAN!
14,Intel chief releases info on ‘unmasking’ of Flynn to Capitol Hill https://t.co/21wRsUboOf via @politico,1.0,Intel chief releases info on ‘unmasking’ of Flynn to Capitol Hill via @politico
15,"THANK YOU, WORKING HARD! #MAGA https://t.co/NytV20gopi",1.0,"THANK YOU, WORKING HARD! #MAGA"
16,"As I have said for a long time, dealing with China is a very expensive thing to do. We just made a great Trade Deal, the ink was barely dry, and the World was hit by the Plague from China. 100 Trade Deals wouldn’t make up the difference - and all those innocent lives lost!",1.0,"As I have said for a long time, dealing with China is a very expensive thing to do. We just made a great Trade Deal, the ink was barely dry, and the World was hit by the Plague from China. 100 Trade Deals wouldn’t make up the difference - and all those innocent lives lost!"
17,"When the so-called “rich guys” speak negatively about the market, you must always remember that some are betting big against it, and make a lot of money if it goes down. Then they go positive, get big publicity, and make it going up. They get you both ways. Barely legal?",1.0,"When the so-called “rich guys” speak negatively about the market, you must always remember that some are betting big against it, and make a lot of money if it goes down. Then they go positive, get big publicity, and make it going up. They get you both ways. Barely legal?"
18,Obama was always wrong! https://t.co/xRU4kJtExs,1.0,Obama was always wrong!
19,Does anybody believe this man? Caught! https://t.co/WfnIqs6BsE,1.0,Does anybody believe this man? Caught!
